X,Y,OBJECTID,TYPE,PARK_NAME,REC_AREA,OWNERSHIP,CLASSIFICATION,LONGITUDE,LATITUDE
598122.860500000417233,4782590.409499999136,401,Baseball,,Upper Stoney Creek,School,,-79.79244585245556,43.18971489405639
598142.718500000424683,4782503.034,402,Soccer,,Upper Stoney Creek,School,,-79.79221703367216,43.18892569136999
598152.363900000229478,4782394.665699999779,403,Baseball,,Upper Stoney Creek,School,,-79.79211760050484,43.187948821094245
598314.632699999958,4782290.8363,404,Baseball,,Upper Stoney Creek,City,,-79.79013958836526,43.18699296980803
598440.589599999599159,4782231.262099999934,405,Baseball,,Upper Stoney Creek,City,,-79.78860050847818,43.18644023591838
598849.098600000143051,4782233.5316,406,Soccer,,Upper Stoney Creek,City,,-79.78357414308219,43.18640733395803
599247.394799999892712,4782105.588899999857,407,Soccer,,Upper Stoney Creek,School,,-79.77869681013969,43.185203284953154
596962.297899999655783,4782647.99799999967,408,Baseball,,Upper Stoney Creek,City,,-79.80671522062553,43.19038319721109
596939.603000000119209,4782728.56499999948,409,Soccer,,Upper Stoney Creek,School,,-79.8069803314575,43.19111144138931
598354.348899999633431,4781708.4274,410,Basketball,,Upper Stoney Creek,School,,-79.78975454411932,43.1817444975004
598313.214300000108778,4781726.016,411,Soccer,,Upper Stoney Creek,School,,-79.79025746566738,43.18190819643568
598549.809000000357628,4781208.571299999952,412,Soccer,,Upper Stoney Creek,City,,-79.78743900984094,43.177218935176384
598626.120799999684095,4781164.458,413,Basketball,,Upper Stoney Creek,City,,-79.78650813867625,43.17681183847872
599335.053999999538064,4781518.499099999666,414,Soccer,,Upper Stoney Creek,City,,-79.77772380745158,43.17990634404276
599412.784199999645352,4781475.095,415,Baseball,,Upper Stoney Creek,City,,-79.77677538551595,43.179505367081234
596202.8684,4781369.5636,416,Soccer,,Upper Stoney Creek,City,,-79.81628175084575,43.178970704349084
596259.6058,4781351.4076,417,Soccer,,Upper Stoney Creek,City,,-79.8155869379375,43.178800024104866
601106.677799999713898,4783028.28009999916,418,Baseball,,Upper Stoney Creek,Other,,-79.7556536152487,43.19326346369496
601169.088899999856949,4783008.98939999938,419,Baseball,,Upper Stoney Creek,Other,,-79.75488921447413,43.193081440090815
601091.35869999975,4782967.5711,420,Baseball,,Upper Stoney Creek,Other,,-79.75585321164215,43.19271897182341
601149.7982,4782954.5215,421,Baseball,,Upper Stoney Creek,Other,,-79.75513654265214,43.19259366798581
601060.153199999593198,4782811.5434,422,Baseball,,Upper Stoney Creek,Other,,-79.75626570234,43.191318482432585
592308.548600000329316,4783462.11419999972,161,Soccer,,Hamilton Mountain,City,,-79.86384016753424,43.198295667929685
591181.273699999786913,4783262.4165,162,Baseball,,Hamilton Mountain,City,,-79.87774531464149,43.19663471770008
591168.997000000439584,4783202.9295,163,Baseball,,Hamilton Mountain,City,,-79.87790620155351,43.19610063496239
591140.157399999909,4783133.730499999598,164,Baseball,,Hamilton Mountain,City,,-79.87827250179762,43.19548111317842
592185.790900000371039,4785046.832599999383,165,Basketball,,Hamilton Mountain,City,,-79.86508632237879,43.21257787595767
592265.98340000025928,4784998.9583,166,Baseball,,Hamilton Mountain,City,,-79.86410725009948,43.21213706755781
592374.394999999552965,4784975.183199999854,167,Soccer,,Hamilton Mountain,City,,-79.86277682334756,43.21190976210537
592318.625199999660254,4784760.7432,168,Basketball,,Hamilton Mountain,City,,-79.86349912521909,43.209985985210906
592185.404199999757111,4784851.128,169,Soccer,,Hamilton Mountain,City,,-79.8651237556211,43.210815997836754
591568.900500000454485,4784720.700799999759,170,Soccer,,Hamilton Mountain,School,,-79.87273359376755,43.209716790873074
589202.593500000424683,4783902.1432,171,Basketball,,Hamilton Mountain,City,,-79.90199109736469,43.202630534897054
590983.567900000140071,4786497.4627,172,Baseball,,Hamilton Mountain,School,,-79.87964516271612,43.225783787396196
590953.036999999545515,4786437.993499999866,173,Baseball,,Hamilton Mountain,School,,-79.88003084686747,43.22525206645665
590410.429999999701977,4788447.390699999407,174,Baseball,,Hamilton Mountain,Other,,-79.88638171095437,43.24340791451294
590427.33490000013262,4788196.8528,175,Tennis,,Hamilton Mountain,Other,,-79.88621461968094,43.24115029421712
595020.946700000204146,4785937.106399999931,176,Tennis,,Hamilton Mountain,City,,-79.8300360612828,43.220241342309166
595034.824900000356138,4785933.4515,177,Tennis,,Hamilton Mountain,City,,-79.82986584756586,43.22020668998834
595049.3454,4785929.012099999934,178,Tennis,,Hamilton Mountain,City,,-79.82968786266109,43.22016489444796
595063.0592,4785924.819399999455,179,Tennis,,Hamilton Mountain,City,,-79.82951976603484,43.22012542063007
595153.43099999987,4785896.3079,180,Baseball,,Hamilton Mountain,School,,-79.82841219059202,43.21985734623737
595247.844899999909,4785873.3233,181,Baseball,,Hamilton Mountain,School,,-79.82725391392592,43.21963850953148
592055.417500000447035,4785934.466499999166,182,Soccer,,Hamilton Mountain,Other,,-79.86654303982235,43.22058513955715
